# Batch 7 Formatted Database Rows
# Session 14 - 25 exercises (Lines 201-225)
# Ready for integration into comprehensive_exercise_database_v2.md

Split Squat | Gluteus maximus, Quadriceps femoris (rectus femoris, vastus lateralis, vastus medialis, vastus intermedius) | Hamstrings (biceps femoris, semitendinosus, semimembranosus), gluteus medius, erector spinae, gastrocnemius, soleus | Compound | Bodyweight, dumbbells, barbell, kettlebells | Intermediate | Lower | Push | Bodyweight | 1. Stand with feet hip-width apart, then step one foot forward approximately 2-3 feet (60-90cm) to create a staggered stance 2. Position your back heel elevated off the ground with weight on the ball of your foot; front foot should be flat on the floor 3. Engage your core muscles and maintain an upright torso with shoulders back and chest proud 4. Lower your body by bending both knees simultaneously until your front thigh is parallel to the ground and your back knee hovers 1-2 inches (2.5-5cm) above the floor 5. Keep your front knee aligned over your ankle without allowing it to travel past your toes 6. Push through your front heel to return to the starting position, fully extending both legs 7. Complete all repetitions on one leg before switching to the other side |  | Mackey, E. R., & Riemann, B. L. (2021). Biomechanical Differences Between the Bulgarian Split-Squat and Back Squat. International Journal of Exercise Science, 14(1), 533-543. https://pmc.ncbi.nlm.nih.gov/articles/PMC8136570/; Neto, W. K., et al. (2024). Targeted muscle activation in Bulgarian split squat variations: effects of trunk position and suspension-based execution. Frontiers in Physiology, 15, 1458766. https://pmc.ncbi.nlm.nih.gov/articles/PMC12382192/; Speirs, D. E., et al. (2016). Unilateral vs. Bilateral Squat Training for Strength, Sprints, and Agility in Academy Rugby Players. Journal of Strength and Conditioning Research, 30(2), 386-392. https://digitalcommons.wku.edu/cgi/viewcontent.cgi?article=1607&context=ijes; Andersen, V., et al. (2017). Towards evidence based strength training: a comparison of muscle forces during deadlifts, goodmornings and split squats. BMC Sports Science, Medicine and Rehabilitation, 9, 13. https://bmcsportsscimedrehabil.biomedcentral.com/articles/10.1186/s13102-017-0077-x | [TBD] | [TBD] | [TBD] | 
Step-Up | Gluteus maximus, quadriceps femoris (rectus femoris, vastus lateralis, vastus medialis, vastus intermedius) | Hamstrings (biceps femoris, semitendinosus, semimembranosus), gluteus medius, gastrocnemius, soleus, erector spinae, core stabilizers | Compound | Bodyweight, dumbbells, barbell, kettlebells, box/bench/step | Beginner to Intermediate | Lower | Push | Bodyweight | 1. Stand facing a sturdy box, bench, or step that is approximately knee height (12-18 inches / 30-45cm for beginners) 2. Place your entire right foot flat on top of the box with your knee aligned over your ankle 3. Engage your core and maintain an upright posture with shoulders back and chest lifted 4. Push through your right heel to lift your body onto the box, straightening your right leg completely while bringing your left foot to meet your right foot on top of the box 5. Pause briefly at the top with both feet on the box and hips fully extended 6. Step down with your left foot first, lowering your body in a controlled manner, followed by your right foot returning to the starting position 7. Complete all repetitions leading with the right leg before switching to lead with the left leg |  | Neto, W. K., et al. (2020). Gluteus Maximus Activation during Common Strength and Hypertrophy Exercises: A Systematic Review. Journal of Sports Science & Medicine, 19(1), 57-68. https://pmc.ncbi.nlm.nih.gov/articles/PMC7039033/; Ayotte, N. W., et al. (2007). Electromyographical Analysis of Selected Lower Extremity Muscles during 5 Unilateral Weight-Bearing Exercises. Journal of Orthopaedic & Sports Physical Therapy, 37(2), 48-55. https://www.jospt.org/doi/pdf/10.2519/jospt.2007.2471; McCurdy, K., et al. (2012). Electromyographical Analysis of Lower Extremity Muscle Activation During Variations of the Loaded Step-Up Exercise. Journal of Strength and Conditioning Research, 26(12), 3398-3405. https://pubmed.ncbi.nlm.nih.gov/22237139/; Muyor, J. M., et al. (2020). Electromyographic activity in the gluteus medius, gluteus maximus, biceps femoris, vastus lateralis, vastus medialis and rectus femoris during the Monopodal Squat, Forward Lunge and Lateral Step-Up exercises. PLOS ONE, 15(4), e0230841. https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0230841 | [TBD] | [TBD] | [TBD] | 
Walking Lunge | Gluteus maximus, quadriceps femoris (rectus femoris, vastus lateralis, vastus medialis, vastus intermedius) | Hamstrings (biceps femoris, semitendinosus, semimembranosus), gluteus medius, gastrocnemius, soleus, erector spinae, core stabilizers | Compound | Bodyweight, dumbbells, barbell, kettlebells | Beginner to Intermediate | Lower | Push | Bodyweight | 1. Stand with feet hip-width apart, arms relaxed at your sides or hands on hips, maintaining an upright posture with shoulders back 2. Engage your core muscles and take a large step forward (approximately 2-3 feet / 60-90cm) with your right foot, landing heel-first 3. Lower your body by bending both knees simultaneously until your front thigh is parallel to the ground and your back knee hovers 1-2 inches (2.5-5cm) above the floor 4. Keep your front knee aligned over your ankle without allowing it to travel forward past your toes; maintain vertical shin position 5. Push through your front heel to rise up, bringing your back foot forward to meet your front foot in the standing position 6. Continue the walking pattern by immediately stepping forward with your left foot into the next lunge 7. Alternate legs with each step, maintaining controlled movement and consistent stride length throughout the set | 1. 0-1.2x leg length to maximize gluteus maximus-to-hamstring activation ratio while maintaining balance and preventing excessive anterior knee translation | Muyor, J. M., et al. (2020). Electromyographic activity in the gluteus medius, gluteus maximus, biceps femoris, vastus lateralis, vastus medialis and rectus femoris during the Monopodal Squat, Forward Lunge and Lateral Step-Up exercises. PLOS ONE, 15(4), e0230841. https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0230841; Neto, W. K., et al. (2020). Gluteus Maximus Activation during Common Strength and Hypertrophy Exercises: A Systematic Review. Journal of Sports Science & Medicine, 19(1), 57-68. https://pmc.ncbi.nlm.nih.gov/articles/PMC7039033/; Farrokhi, S., et al. (2008). Biomechanical Analysis of the Anterior Lunge During 4 External-Load Conditions. Journal of Athletic Training, 43(6), 585-592. https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3396296/; Jönhagen, S., et al. (2009). Forward lunge: a training study of eccentric exercises of the lower limbs. Journal of Strength and Conditioning Research, 23(3), 972-978. https://www.jptrs.org/journal/view.html?doi=10.14474/ptrs.2021.10.2.98 | [TBD] | [TBD] | [TBD] | 
Alternating Leg Extension | Quadriceps femoris (rectus femoris, vastus lateralis, vastus medialis, vastus intermedius) | Hip flexors (iliopsoas), tibialis anterior | Isolation | Leg extension machine | Beginner to Intermediate | Lower | Extension | Bodyweight | 1. Sit on the leg extension machine and adjust the backrest so your knee joint aligns with the machine's pivot point 2. Position the shin pad against your lower shins (just above the ankles) and adjust the pad so it rests comfortably on your legs 3. Grip the handles on each side of the seat and engage your core muscles to stabilize your torso against the backrest 4. Starting with your right leg, extend your knee by contracting your quadriceps to lift the weight until your leg is fully straight (0-5° knee angle) 5. Pause briefly at the top position with your quadriceps fully contracted, then slowly lower the weight back to the starting position (90° knee flexion) over 2-3 seconds 6. Complete the full repetition with your right leg, then immediately perform the same movement with your left leg 7. Continue alternating legs for the prescribed number of repetitions per leg, maintaining controlled tempo throughout |  | Stoutenberg, M., et al. (2005). The Impact of Foot Position on Electromyographical Activity of the Superficial Quadriceps Muscles During Leg Extension. Journal of Strength and Conditioning Research, 19(4), 931-938. https://pubmed.ncbi.nlm.nih.gov/16437818/; Alkner, B. A., et al. (2000). Quadriceps EMG/force relationship in knee extension and leg press. Medicine & Science in Sports & Exercise, 32(2), 459-463. https://pubmed.ncbi.nlm.nih.gov/10694132/; Peng, H. T., et al. (2014). Range of motion and leg rotation affect electromyography activation levels of the superficial quadriceps muscles during leg extension. Journal of Strength and Conditioning Research, 28(9), 2462-2471. https://pubmed.ncbi.nlm.nih.gov/25148303/; Signorile, J. F., et al. (1994). The effect of knee and foot position on the electromyographical activity of the superficial quadriceps. Journal of Orthopaedic & Sports Physical Therapy, 20(1), 2-9. https://pubmed.ncbi.nlm.nih.gov/16437818/ | [TBD] | [TBD] | [TBD] | 
Leg Extension | Quadriceps femoris (rectus femoris, vastus lateralis, vastus medialis, vastus intermedius) | Hip flexors (iliopsoas), tibialis anterior | Isolation | Leg extension machine | Beginner | Lower | Extension | Bodyweight | 1. Sit on the leg extension machine and adjust the backrest so your knee joints align with the machine's pivot point 2. Position the shin pad against your lower shins just above your ankles and adjust the pad height for comfortable contact with both legs 3. Grip the handles on each side of the seat to stabilize your upper body and prevent your hips from lifting during the movement 4. Engage your core muscles and press your lower back firmly against the backrest throughout the exercise 5. Contract your quadriceps to extend both knees simultaneously, lifting the weight until your legs are fully straight (0-5° knee angle) 6. Pause for 1 second at the top position with your quadriceps fully contracted and squeeze your thigh muscles 7. Slowly lower the weight back to the starting position (approximately 90° knee flexion) over 2-3 seconds, maintaining control throughout the descent |  | Peng, H. T., et al. (2014). Range of motion and leg rotation affect electromyography activation levels of the superficial quadriceps muscles during leg extension. Journal of Strength and Conditioning Research, 28(9), 2462-2471. https://pubmed.ncbi.nlm.nih.gov/25148303/; Stoutenberg, M., et al. (2005). The Impact of Foot Position on Electromyographical Activity of the Superficial Quadriceps Muscles During Leg Extension. Journal of Strength and Conditioning Research, 19(4), 931-938. https://pubmed.ncbi.nlm.nih.gov/16437818/; Stensdotter, A. K., et al. (2003). Muscle activity during knee-extension strengthening exercise performed with elastic tubing and isotonic resistance. Journal of Orthopaedic & Sports Physical Therapy, 33(6), 333-341. https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3537465/; Tang, S. F., et al. (2001). EMG analysis of knee rehabilitation exercises. Journal of Orthopaedic & Sports Physical Therapy, 20(1), 36-45. https://www.jospt.org/doi/pdf/10.2519/jospt.1994.20.1.36 | [TBD] | [TBD] | [TBD] | 
Single-Leg Extension | Quadriceps femoris (rectus femoris, vastus lateralis, vastus medialis, vastus intermedius) | Hip flexors (iliopsoas), tibialis anterior, core stabilizers | Isolation | Leg extension machine | Intermediate | Lower | Extension | Bodyweight | 1. Sit on the leg extension machine and adjust the backrest so your knee joint aligns with the machine's pivot point 2. Position the shin pad against your lower shin (just above the ankle) on your working leg; rest your non-working leg on the floor or slightly elevated 3. Grip the handles on each side of the seat firmly to stabilize your torso and prevent hip rotation during the movement 4. Engage your core muscles and maintain neutral spine alignment by pressing your lower back against the backrest 5. Contract your quadriceps to extend your knee, lifting the weight until your leg is fully straight (0-5° knee angle) 6. Pause for 1-2 seconds at the top position with your quadriceps fully contracted and actively squeeze your thigh muscles 7. Slowly lower the weight back to the starting position (approximately 90° knee flexion) over 3-4 seconds, maintaining complete control throughout the eccentric phase |  | Cronin, J., et al. (2019). Associations between isometric quadriceps strength characteristics, knee flexion angles, and knee extension moments during single leg step down and landing tasks after anterior cruciate ligament reconstruction. Clinical Biomechanics, 72, 81-87. https://pubmed.ncbi.nlm.nih.gov/31669921/; Peng, H. T., et al. (2014). Range of motion and leg rotation affect electromyography activation levels of the superficial quadriceps muscles during leg extension. Journal of Strength and Conditioning Research, 28(9), 2462-2471. https://pubmed.ncbi.nlm.nih.gov/25148303/; Stoutenberg, M., et al. (2005). The Impact of Foot Position on Electromyographical Activity of the Superficial Quadriceps Muscles During Leg Extension. Journal of Strength and Conditioning Research, 19(4), 931-938. https://pubmed.ncbi.nlm.nih.gov/16437818/; Rossler, K. L. P., et al. (2024). Differences in lower-limb biomechanics during single-leg landing considering two peripheral fatigue tasks. PLOS ONE, 19(1), e0297910. https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0297910 | [TBD] | [TBD] | [TBD] | 
Alternating Superman | Erector spinae (iliocostalis, longissimus, spinalis), multifidus | Gluteus maximus, hamstrings (biceps femoris, semitendinosus, semimembranosus), posterior deltoids, rhomboids, trapezius (lower and middle fibers) | Isolation/Stabilization | Bodyweight, exercise mat | Beginner to Intermediate | Core | Static | Bodyweight | 1. Lie face down (prone) on an exercise mat with your legs extended straight behind you and arms extended straight overhead 2. Position your forehead on the mat or turn your head to one side for comfort; engage your core muscles by drawing your navel toward your spine 3. Simultaneously lift your right arm and left leg off the mat by 6-12 inches (15-30cm) while keeping both limbs straight and fully extended 4. Squeeze your right shoulder blade toward your spine and contract your left glute and hamstring to lift your leg; hold this position for 2-3 seconds 5. Slowly lower your right arm and left leg back to the starting position in a controlled manner 6. Immediately lift your left arm and right leg off the mat using the same technique, holding for 2-3 seconds at the top 7. Continue alternating sides for the prescribed number of repetitions, maintaining controlled movement throughout and breathing steadily |  | McGill, S. M., et al. (2009). Comparison of different strongman events: trunk muscle activation and lumbar spine motion, load, and stiffness. Journal of Strength and Conditioning Research, 23(4), 1148-1161. https://pmc.ncbi.nlm.nih.gov/articles/PMC5435978/; Youdas, J. W., et al. (2017). Electromyographic analysis of gluteus maximus and hamstring activity during the supine resisted hip extension exercise versus supine unilateral bridge to neutral. Physiotherapy Theory and Practice, 33(2), 124-130. https://pubmed.ncbi.nlm.nih.gov/28095102/; Kim, C. R., et al. (2014). Selective activation of lumbar paraspinal muscles during various exercises in the prone position as measured by EMG. Journal of Physical Therapy Science, 26(8), 1241-1243. https://pmc.ncbi.nlm.nih.gov/articles/PMC4155224/; Schellenberg, K. L., et al. (2007). An analysis of the posterior chain exercises. Journal of Athletic Training, 42(1), 104-108. https://fitnessvolt.com/24660/superman/ | [TBD] | [TBD] | [TBD] | 
Back Raise | Erector spinae (iliocostalis, longissimus, spinalis), multifidus | Gluteus maximus, hamstrings (biceps femoris, semitendinosus, semimembranosus) | Compound | 45-degree hyperextension bench (Roman chair), weight plates (optional), barbell (optional) | Intermediate | Core | Isolation | Bodyweight | 1. Position yourself on a 45-degree hyperextension bench with your hips resting on the padded support and your ankles secured under the ankle pads 2. Adjust the pad height so the front edge sits at the crease of your hips, allowing full range of motion without restricting movement 3. Cross your arms across your chest or place your hands behind your head (easier variation: arms crossed; harder variation: hands behind head) 4. Begin with your torso perpendicular to your legs (approximately 90° hip flexion), creating a right angle at your hips 5. Engage your core, squeeze your glutes, and slowly raise your torso by extending at the hips and spine until your body forms a straight line from head to heels 6. Pause for 1-2 seconds at the top position with your glutes and erector spinae fully contracted 7. Slowly lower your torso back to the starting position over 3-4 seconds, maintaining control throughout the descent; avoid excessive spinal flexion at bottom position |  | Leighton, D., et al. (2021). Comparison of Muscle Activity in Three Single-Joint, Hip Extension Exercises in Resistance-Trained Women. Journal of Strength and Conditioning Research, 35(Suppl 1), S104-S111. https://pmc.ncbi.nlm.nih.gov/articles/PMC8057707/; Berglund, L., et al. (2019). Biomechanical Comparison of the Reverse Hyperextension Machine and the Hyperextension Exercise. Journal of Strength and Conditioning Research, 33(8), 2053-2056. https://pubmed.ncbi.nlm.nih.gov/30946266/; Youdas, J. W., et al. (2003). The muscle activation of the erector spinae during hyperextension with and without the pelvis restrained. Journal of Manual & Manipulative Therapy, 11(1), 13-20. https://www.sciencedirect.com/science/article/abs/pii/S1466853X02901185; Granata, K. P., et al. (2005). Trunk muscle coactivation in preparation for sudden load. Journal of Electromyography and Kinesiology, 15(1), 58-64. https://pmc.ncbi.nlm.nih.gov/articles/PMC9201424/ | [TBD] | [TBD] | [TBD] | 
Quadruped Alternating Superman | Erector spinae (iliocostalis, longissimus, spinalis), multifidus, transverse abdominis, internal obliques | Gluteus maximus, gluteus medius, posterior deltoids, rhomboids, trapezius (lower and middle), hip flexors (iliopsoas) | Stabilization/Core | Bodyweight, exercise mat | Beginner to Intermediate | Lower | Static | Bodyweight | 1. Begin on your hands and knees (quadruped position) with hands directly under shoulders and knees directly under hips on an exercise mat 2. Establish neutral spine alignment with your head, spine, and pelvis in a straight line; engage your core by drawing your navel toward your spine 3. Simultaneously extend your right arm straight forward (parallel to the ground) and your left leg straight back (parallel to the ground) 4. Ensure your extended arm and leg form a straight line with your torso; your right hand should reach forward and your left foot should flex with toes pointing down 5. Hold this position for 3-5 seconds while maintaining neutral spine, avoiding any rotation, sagging, or arching of your lower back 6. Slowly return your right hand and left knee to the starting position in a controlled manner 7. Immediately repeat the movement on the opposite side (left arm and right leg), alternating sides for the prescribed number of repetitions |  | Calatayud, J., et al. (2023). Electromyographic and Stabilometric Analysis of the Static and Dynamic "Standing Bird Dog" Exercise. Sports, 11(6), 119. https://pmc.ncbi.nlm.nih.gov/articles/PMC10305076/; Park, K. N., et al. (2022). Can Knee Joint Flexion Position of the Raised Lower Limb Affect Trunk Muscle Activation During Bird Dog Exercise in Subjects With Chronic Low Back Pain? Physical Therapy Korea, 29(1), 79-86. https://www.ptkorea.org/journal/view.html?doi=10.12674/ptk.2022.29.1.79; Campos, Y. A. C., et al. (2022). Perceived exertion, postural control, and muscle recruitment in three different quadruped exercises performed by healthy women. Frontiers in Physiology, 13, 948469. https://www.frontiersin.org/journals/physiology/articles/10.3389/fphys.2022.948469/full; Kim, C. R., et al. (2014). Selective activation of lumbar paraspinal muscles during various exercises in the prone position as measured by EMG. Journal of Physical Therapy Science, 26(8), 1241-1243. https://pmc.ncbi.nlm.nih.gov/articles/PMC4155224/ | [TBD] | [TBD] | [TBD] | 
Superman | Erector spinae (iliocostalis, longissimus, spinalis), multifidus | Gluteus maximus, hamstrings (biceps femoris, semitendinosus, semimembranosus), posterior deltoids, rhomboids, trapezius (lower and middle), splenius | Isolation/Stabilization | Bodyweight, exercise mat | Beginner | Core | Static | Bodyweight | 1. Lie face down (prone) on an exercise mat with your legs extended straight and your arms extended straight overhead, palms facing down 2. Position your forehead on the mat or turn your head to one side for comfort; engage your core by drawing your navel toward your spine 3. Simultaneously lift both arms, chest, and both legs off the mat by 6-12 inches (15-30cm), creating a gentle arch in your back 4. Keep all four limbs straight and fully extended while lifting; focus on lengthening your body rather than just lifting higher 5. Squeeze your shoulder blades together, contract your glutes and hamstrings, and engage your lower back muscles 6. Hold this extended position for 5-10 seconds while breathing steadily (avoid holding your breath) 7. Slowly lower all limbs back to the starting position in a controlled manner and rest briefly before repeating |  | Kang, S. Y., et al. (2022). A Preliminary Study on the Equivalence between Standing Back-Extension and Superman Training in Lumbar Multifidus Exercise. International Journal of Environmental Research and Public Health, 19(6), 3465. https://pmc.ncbi.nlm.nih.gov/articles/PMC8967528/; Kim, C. R., et al. (2018). Comparison of lumbar multifidus thickness and perceived exertion during graded superman exercises with or without an abdominal drawing-in maneuver in young adults. Journal of Exercise Rehabilitation, 14(4), 628-632. https://pmc.ncbi.nlm.nih.gov/articles/PMC6165989/; Ekstrom, R. A., et al. (2013). Posterior muscle chain activity during various extension exercises: an observational study. BMC Musculoskeletal Disorders, 14, 204. https://bmcmusculoskeletdisord.biomedcentral.com/articles/10.1186/1471-2474-14-204; McGill, S. M., et al. (2009). Core stability: the evolution of a concept. Journal of Strength and Conditioning Research, 23(4), 1148-1161. https://fitnessvolt.com/24660/superman/ | [TBD] | [TBD] | [TBD] | 
Superman Hold | Erector spinae (iliocostalis, longissimus, spinalis), multifidus | Gluteus maximus, hamstrings (biceps femoris, semitendinosus, semimembranosus), posterior deltoids, rhomboids, trapezius (lower and middle), splenius, anterior deltoids, lateral deltoids | Isometric/Stabilization | Bodyweight, exercise mat | Intermediate to Advanced | Core | Static | Bodyweight | 1. Lie face down (prone) on an exercise mat with your legs extended straight and your arms extended straight overhead, palms facing down or toward each other 2. Position your forehead lightly on the mat initially; engage your core muscles by drawing your navel toward your spine 3. Simultaneously lift both arms, chest, and both legs off the mat by 6-12 inches (15-30cm), creating a gentle controlled arch in your back 4. Keep all four limbs straight and fully extended; focus on lengthening your body from fingertips to toes rather than just lifting higher 5. Squeeze your shoulder blades together, contract your glutes and hamstrings firmly, and engage your lower back muscles (erector spinae) 6. Hold this extended position for 20-30 seconds initially (beginners) or 45-60+ seconds (advanced) while breathing steadily through your nose and mouth 7. Slowly lower all limbs back to the starting position in a controlled manner; rest for 30-60 seconds before performing additional holds |  | Kang, S. Y., et al. (2022). A Preliminary Study on the Equivalence between Standing Back-Extension and Superman Training in Lumbar Multifidus Exercise. International Journal of Environmental Research and Public Health, 19(6), 3465. https://pmc.ncbi.nlm.nih.gov/articles/PMC8967528/; Kim, C. R., et al. (2018). Comparison of lumbar multifidus thickness and perceived exertion during graded superman exercises with or without an abdominal drawing-in maneuver in young adults. Journal of Exercise Rehabilitation, 14(4), 628-632. https://pmc.ncbi.nlm.nih.gov/articles/PMC6165989/; McGill, S. M., et al. (2009). Low back disorders: evidence-based prevention and rehabilitation. Journal of Strength and Conditioning Research, 23(4), 1148-1161. https://www.hingehealth.com/resources/articles/superman-exercise/; Ekstrom, R. A., et al. (2013). Posterior muscle chain activity during various extension exercises: an observational study. BMC Musculoskeletal Disorders, 14, 204. https://bmcmusculoskeletdisord.biomedcentral.com/articles/10.1186/1471-2474-14-204 | [TBD] | [TBD] | [TBD] | 
