# Batch 8 Complete Database Rows
# Session 15 - 25 exercises (Lines 226-250)
# Shoulders (11) + Triceps (14)
# Format: Name | Primary | Secondary | Type | Equipment | Level | Region | Movement | Modality | Steps | Cues | References | ExRx | JEFIT | CoachWhitt | Sports

Dumbbell Lateral Raise | Deltoideus (lateral/middle head) | Deltoideus (anterior head), trapezius (upper fibers), supraspinatus | Isolation | Dumbbells | Beginner to Intermediate | Upper | Isolation | Free Weight | 1. Stand feet shoulder-width holding dumbbells at sides, palms facing inward 2. Maintain slight elbow bend (10-15 degrees) throughout movement 3. Raise both arms simultaneously out to sides and slightly forward 4. Lift until arms reach shoulder height (90-degree abduction) 5. Lower with control over 2-3 seconds 6. Avoid momentum, keep movement smooth 7. Complete 10-15 reps maintaining strict form | 1. Lead with elbows to maximize lateral deltoid engagement 2. Slight forward arm path reduces impingement risk 3. Pause at top 1-2 seconds with conscious contraction 4. Control eccentric phase (3-4 seconds) for hypertrophy 5. Neutral grip for overall activation, internal rotation for posterior emphasis | Campos et al. (2025). Dumbbell vs cable lateral raises. Front Physiol. https://www.frontiersin.org/journals/physiology/articles/10.3389/fphys.2025.1611468/full; EMG Analysis of Lateral Raise Variations. PMC. https://pmc.ncbi.nlm.nih.gov/articles/PMC7503819/; Sweeney (2018). EMG analysis of deltoid. UW-La Crosse; Systematic review deltoid activation. ScienceDirect | Swimming, Baseball, Tennis, Volleyball, Basketball, American Football, Boxing, MMA, Gymnastics, Rock Climbing, Bodybuilding, CrossFit | [TBD] | [TBD] | [TBD]
Front Plate Raise | Deltoideus (anterior head) | Deltoideus (lateral head), pectoralis major (clavicular head), serratus anterior, trapezius (upper fibers) | Isolation | Weight plate | Beginner to Intermediate | Upper | Isolation | Free Weight | 1. Stand feet shoulder-width holding plate at thigh level 2. Grip plate at 10-2 o'clock positions or edges 3. Engage core, maintain neutral spine, shoulders back 4. Raise plate forward and upward in smooth arc 5. Lift until plate reaches eye/shoulder height 6. Pause briefly at top, lower with control 7. Complete 10-15 reps avoiding momentum | 1. Maintain scapular retraction to prevent upper trap dominance 2. Lead with anterior deltoid, not arms 3. Controlled eccentric (3 seconds) maximizes tension 4. Keep plate 8-12 inches from face at top 5. Avoid hyperextending spine or using back momentum | EMG Analysis Frontal Raise. PubMed. https://pubmed.ncbi.nlm.nih.gov/32824894/; Sweeney (2018) EMG deltoid; Surface EMG Trapezius/Serratus. JOSPT; Front Raise Benefits. Swolverine | Boxing, Swimming, Baseball, Tennis, Volleyball, American Football, MMA, Wrestling, Basketball, Gymnastics, Bodybuilding, CrossFit | [TBD] | [TBD] | [TBD]
Kneeling Single-Arm Cable Rear Delt Raise | Deltoideus (posterior head) | Rhomboideus major/minor, trapezius (middle fibers), infraspinatus, teres minor | Isolation | Cable machine with D-handle | Intermediate | Upper | Isolation | Cables | 1. Set cable at shoulder height, kneel perpendicular to machine 2. Reach across body to grab handle with arm furthest from machine 3. Position so cable crosses front of torso, maintain upright kneeling 4. Pull handle outward and backward in horizontal arc, lead with elbow 5. Continue until arm perpendicular to torso or slightly behind 6. Squeeze shoulder blade toward spine, pause 1-2 seconds 7. Return with control, complete all reps before switching | 1. Kneeling eliminates lower body momentum, increases core demand 2. Visualize pulling elbow backward, not moving hand 3. Slight internal rotation at start increases posterior deltoid activation 4. Maintain constant cable tension throughout ROM 5. Scapular retraction at end maximizes rhomboid/middle trap involvement | Different Shoulder Exercises Affect Deltoid Activation. PMC. https://pmc.ncbi.nlm.nih.gov/articles/PMC7706677/; EMG Lateral Raise Variations. PMC; Deltoid Activation Angles Study. PMC; Hand Position Effects Posterior Shoulder. ResearchGate | Swimming, Baseball, Tennis, Rowing, CrossFit, Bodybuilding, Volleyball, Basketball, American Football, MMA, Wrestling, Rock Climbing | [TBD] | [TBD] | [TBD]
Lying Dumbbell External Rotation | Infraspinatus, teres minor | Posterior deltoid, supraspinatus, subscapularis (stabilizer) | Isolation | Dumbbell, flat bench or mat | Beginner to Intermediate | Upper | Rotation | Free Weight | 1. Lie on side with lower arm supporting head, knees slightly bent 2. Hold light dumbbell in top hand, elbow bent 90 degrees against side 3. Position forearm across abdomen, palm facing down 4. Keep elbow fixed against side, rotate forearm upward 5. Raise until forearm perpendicular to floor or slightly beyond 6. Lower with control over 2-3 seconds 7. Complete 12-15 reps maintaining strict elbow position before switching | 1. Keep upper arm pressed firmly against torso - separation reduces isolation 2. Movement is pure rotation at shoulder, not arm lift 3. Use light weight (2-5 lbs) to maintain strict form 4. Full ROM crucial: start max internal, end max comfortable external rotation 5. Eccentric control (3-4 seconds) enhances rotator cuff strengthening | Reinold et al. (2004). EMG Rotator Cuff External Rotation Exercises. JOSPT. https://www.jospt.org/doi/10.2519/jospt.2004.34.7.385; Edwards et al. (2017). Systematic Review EMG Rotator Cuff Rehab. JOSPT; EMG Early Rehab Exercises; Timing rotator cuff activation throwers. PubMed | Baseball, Tennis, Swimming, Volleyball, Javelin, American Football (QB), Cricket, Softball, Basketball, Rock Climbing, CrossFit, Overhead sports | [TBD] | [TBD] | [TBD]
Lying Dumbbell Rear Delt Raise | Deltoideus (posterior head) | Rhomboideus major/minor, trapezius (middle fibers), infraspinatus, teres minor, teres major | Isolation | Dumbbells, incline bench | Beginner to Intermediate | Upper | Isolation | Free Weight | 1. Lie face down on incline bench (30-45 degrees), chest supported 2. Hold dumbbells neutral grip, arms hanging beneath shoulders 3. Maintain slight elbow bend (10-20 degrees), engage core 4. Raise dumbbells outward and upward in wide arc, lead with elbows 5. Continue until upper arms parallel to floor or slightly above 6. Squeeze shoulder blades together, pause 1-2 seconds 7. Lower slowly over 2-3 seconds, complete 12-15 reps | 1. Chest-supported eliminates momentum and lower back stress 2. Neutral grip produces 10% greater eccentric activation than pronated 3. Focus on horizontal abduction (elbows away from midline) 4. Scapular retraction engages rhomboids and middle trap 5. Single-arm variation identifies bilateral imbalances | Different Shoulder Exercises Deltoid Activation. PMC; Hand Position Effects Posterior Shoulder. ResearchGate; Deltoid Activation Angles. PMC; Systematic review deltoid activation. ScienceDirect | Swimming, Baseball, Tennis, Rowing, Volleyball, Wrestling, MMA, Boxing, CrossFit, Bodybuilding, Rock Climbing, American Football | [TBD] | [TBD] | [TBD]
Lying Single-Arm Dumbbell Rear Delt Raise | Deltoideus (posterior head) | Rhomboideus major/minor, trapezius (middle fibers), infraspinatus, teres minor, teres major | Isolation | Dumbbell, incline bench | Intermediate | Upper | Isolation | Free Weight | 1. Lie face down on incline bench (30-45 degrees), chest supported 2. Hold dumbbell in one hand neutral grip, arm hanging beneath shoulder 3. Maintain slight elbow bend (10-20 degrees), engage core for stability 4. Raise dumbbell outward and upward in wide arc, lead with elbow 5. Continue until upper arm parallel to floor or slightly above 6. Squeeze shoulder blade toward spine, pause 1-2 seconds 7. Lower slowly over 2-3 seconds, complete all reps before switching sides | 1. Unilateral allows focus on each side independently 2. Neutral grip produces 10% greater eccentric activation 3. Chest support eliminates momentum for pure isolation 4. Identifies and corrects bilateral strength imbalances 5. Scapular retraction maximizes rhomboid involvement | Different Shoulder Exercises Deltoid Portions. PMC; Hand Position Posterior Shoulder EMG. ResearchGate; Deltoid Activation Different Angles. PMC; Systematic review deltoid activation. ScienceDirect | Swimming, Baseball, Tennis, Rowing, Volleyball, Wrestling, MMA, Boxing, CrossFit, Bodybuilding, Rock Climbing, American Football | [TBD] | [TBD] | [TBD]
Pec Deck Rear Delt Extensions | Deltoideus (posterior head) | Rhomboideus major/minor, trapezius (middle fibers), infraspinatus, teres minor | Isolation | Pec deck machine (reverse) | Beginner | Upper | Isolation | Machine | 1. Adjust seat so handles align with shoulder level when arms extended 2. Sit facing machine pad, chest against pad, feet flat, grasp handles 3. Start with arms extended forward, handles in front of chest, slight elbow bend 4. Pull handles backward in horizontal arc, lead with elbows 5. Pull until arms perpendicular to torso 6. Squeeze shoulder blades together, hold 1-2 seconds 7. Return forward with control, complete 12-15 reps | 1. Machine provides constant resistance throughout ROM 2. Visualize pulling elbows backward to emphasize posterior deltoid 3. Slight forward lean (10-15 degrees) increases stretch at start 4. Balance scapular retraction - excessive shifts work to rhomboids 5. Use controlled tempo: 2 sec concentric, 1 sec squeeze, 3 sec eccentric | Different Shoulder Exercises Deltoid Portions. PMC; Deltoid Activation Different Angles. PMC; Systematic review deltoid exercises. ScienceDirect; Analysis deltoid activation single/multi-joint. ResearchGate | Swimming, Baseball, Rowing, Tennis, Volleyball, Bodybuilding, CrossFit, Basketball, American Football, MMA, Wrestling, Rock Climbing | [TBD] | [TBD] | [TBD]
Reverse Incline Dumbbell Rear Delt Raise | Deltoideus (posterior head) | Rhomboideus major/minor, trapezius (middle fibers), infraspinatus, teres minor, teres major | Isolation | Dumbbells, incline bench | Intermediate | Upper | Isolation | Free Weight | 1. Set bench to 30-45 degree incline, lie face down chest supported 2. Hold dumbbells neutral grip, arms hanging beneath shoulders 3. Engage core, maintain neutral spine, slight elbow bend 4. Raise dumbbells outward and upward in wide arc, lead with elbows 5. Continue until upper arms parallel to floor or above 6. Squeeze shoulder blades together, pause 1-2 seconds 7. Lower with control over 2-3 seconds, complete 12-15 reps | 1. Reverse incline provides perfect isolation by eliminating momentum 2. Neutral grip produces greater eccentric activation than pronated 3. Lead with elbows for proper muscle recruitment 4. Chest support allows focus purely on posterior deltoid contraction 5. Maintain neutral spine - rounding reduces activation | Different Shoulder Exercises Deltoid Portions. PMC; Sweeney (2018) EMG deltoid analysis; Hand Position Posterior Shoulder. ResearchGate; Deltoid Activation Different Angles. PMC | Swimming, Baseball, Tennis, Rowing, Volleyball, Wrestling, Boxing, MMA, CrossFit, Bodybuilding, American Football, Rock Climbing | [TBD] | [TBD] | [TBD]
Seated Dumbbell Rear Delt Raise | Deltoideus (posterior head) | Rhomboideus major/minor, trapezius (middle fibers), infraspinatus, teres minor, teres major | Isolation | Dumbbells, flat bench | Intermediate | Upper | Isolation | Free Weight | 1. Sit at end of bench, feet flat, hinge forward at hips until torso nearly parallel (70-80 degrees) 2. Hold dumbbells neutral grip beneath chest, arms hanging with slight elbow bend 3. Engage core for neutral spine, keep chest lifted 4. Raise dumbbells outward and upward in wide arc, lead with elbows 5. Continue until upper arms parallel or above, perpendicular to torso 6. Squeeze shoulder blades together, pause 1-2 seconds 7. Lower with control over 2-3 seconds, complete 12-15 reps | 1. Forward lean angle 70-80 degrees optimizes posterior deltoid loading 2. Neutral grip produces 10% greater eccentric activation 3. Lead with elbows, not hands for proper recruitment 4. Maintain spinal neutral - rounding reduces activation 5. Seated allows heavier loads due to stable base | Different Shoulder Exercises Deltoid Activation. PMC; Sweeney (2018) EMG deltoid; Hand Position Posterior Shoulder. ResearchGate; Deltoid Activation Different Angles. PMC | Swimming, Baseball, Tennis, Rowing, Volleyball, Wrestling, Boxing, MMA, CrossFit, Bodybuilding, American Football, Rock Climbing | [TBD] | [TBD] | [TBD]
Single-Arm Cable Lateral Raise | Deltoideus (lateral/middle head) | Deltoideus (anterior head), trapezius (upper fibers), supraspinatus, core stabilizers | Isolation | Cable machine with D-handle | Intermediate | Upper | Isolation | Cables | 1. Set pulley to lowest position, attach D-handle, stand sideways to machine 2. Reach across body to grab handle with hand furthest from machine 3. Step away to create starting tension, slight lean away from cable 4. Keep slight elbow bend (10-15 degrees), raise arm out to side and slightly forward 5. Continue until arm reaches shoulder height (90-degree abduction) 6. Lower with control maintaining constant cable tension 7. Complete 10-15 reps one side before switching | 1. Cable provides constant tension including at bottom where dumbbells have minimal resistance 2. Slight lean away from machine increases lateral deltoid tension 3. Behind-the-back variation minimizes trapezius for pure lateral deltoid isolation 4. Unilateral execution challenges core stability - engage obliques 5. Arm path slightly forward (scapular plane) optimizes mechanics | Campos et al. (2025). Dumbbell vs cable lateral raises. Front Physiol; Single-Arm Cable Lateral Raise guide. M&S; How to Do Single-Arm Cable Lateral Raise. Legion Athletics; Single-arm Lateral Raise. ACE Fitness | Swimming, Baseball, Tennis, Volleyball, Basketball, American Football, Boxing, MMA, Rock Climbing, Gymnastics, CrossFit, Bodybuilding | [TBD] | [TBD] | [TBD]
Cable External Rotation | Infraspinatus, teres minor | Posterior deltoid, supraspinatus | Isolation | Cable machine with D-handle | Beginner to Intermediate | Upper | Rotation | Cables | 1. Set cable pulley at elbow height, attach D-handle, stand sideways 2. Grab handle with hand furthest from machine, position elbow against side at 90-degree bend 3. Start with forearm across abdomen (internal rotation), maintain elbow fixed against torso 4. Rotate forearm outward away from body (external rotation), keep elbow stationary 5. Continue rotation until forearm perpendicular to body or slightly beyond 6. Pause briefly, return with control to start 7. Complete 12-15 reps before switching sides | 1. Keep elbow pressed firmly against side - movement reduces isolation 2. Use light resistance to maintain strict form and prevent deltoid compensation 3. Cable provides constant tension throughout ROM for continuous loading 4. Diagonal patterns (high-to-low, low-to-high) mimic sport-specific movements 5. Eccentric control (3-4 seconds) enhances rotator cuff strengthening | Reinold et al. (2004). EMG Rotator Cuff External Rotation. JOSPT; Edwards et al. (2017). Systematic Review EMG Rotator Cuff. JOSPT; Comparing Shoulder External Rotation Exercises. Brookbush; EMG Rotator Cuff Deltoid. ResearchGate | Baseball, Tennis, Swimming, Volleyball, Javelin, Cricket, American Football (QB), Softball, Basketball, Overhead sports, CrossFit, Rock Climbing | [TBD] | [TBD] | [TBD]
