| Barbell Calf Raise | Gastrocnemius (medial head), Gastrocnemius (lateral head) | Soleus, Core stabilizers (erector spinae, rectus abdominis, obliques) | Isolation | Barbell, Raised Platform | Intermediate | Lower | Push | Free Weight | 1. Position barbell on upper back in power rack 2. Stand on raised platform with balls of feet, heels hanging off 3. Lower heels below platform for deep stretch 4. Push through balls of feet to maximum height 5. Squeeze calves at peak for 1-2 seconds 6. Lower with control to stretched position 7. Maintain straight knees throughout movement | 1. Keep knees fully extended—any flexion shifts work to soleus 2. Full ROM: minimum 4-inch stretch below, 3+ inches above 3. Vary tempo: explosive concentric for power, slow for hypertrophy 4. Foot variation: toes forward (balanced), outward (medial head), inward (lateral head) 5. Progress to 1.5-2x bodyweight for advanced development | Nunes JP et al. (2020). Different effects of seated and standing calf raise exercises. J Strength Cond Res 34(12) | Bordoni B & Varacallo M (2023). Gastrocnemius Muscle Anatomy. StatPearls | Gollnick PD et al. (1974). Fiber composition in skeletal muscle. J Appl Physiol 37(2):241-247 | Track & Field, Basketball, Volleyball, Soccer, American Football, Tennis, Boxing, Running | [TBD] | [TBD] | [TBD] |

| Calf Press | Gastrocnemius (medial head), Gastrocnemius (lateral head) | Soleus, Quadriceps (isometric stabilization) | Isolation | Leg Press Machine | Beginner | Lower | Push | Machine | 1. Sit in leg press machine with appropriate weight 2. Place balls of feet on bottom edge of footplate, heels hanging off 3. Extend legs fully, keeping knees straight 4. Release safety locks 5. Flex ankles to let footplate move toward you for stretch 6. Press through balls of feet to extend ankles maximally 7. Hold peak contraction 1-2 seconds, return to stretch | 1. Locked knees—no flexion or quadriceps engagement 2. Machine allows 3-4x bodyweight for advanced hypertrophy 3. Use stretch reflex: pause briefly at bottom then explode 4. Single-leg variation: use 50-60% bilateral weight per leg 5. High frequency: 12-20 sets/week across 3-4 sessions optimal | Nunes JP et al. (2020). Seated vs standing calf raises. J Strength Cond Res 34(12) | Bordoni B & Varacallo M (2023). Gastrocnemius Muscle Anatomy. StatPearls | Schoenfeld BJ et al. (2015). Volume-equated resistance training. J Strength Cond Res 29(10):2909-2918 | Basketball, Track & Field, Volleyball, Soccer, American Football, Rugby, Cycling, Dancing | [TBD] | [TBD] | [TBD] |

| Calf Raise - Seated | Gastrocnemius (medial head - reduced), Gastrocnemius (lateral head - reduced) | Soleus (NOTE: Actually PRIMARY due to knee flexion placing gastrocnemius in active insufficiency) | Isolation | Bench, Dumbbells or Weight Plates, Raised Platform | Beginner | Lower | Push | Free Weight | 1. Sit on bench with feet flat on floor 2. Place platform under balls of feet 3. Position weights on thighs just above knees 4. Drop heels to floor level for starting stretch 5. Push through balls of feet to lift heels maximally 6. Squeeze calves at peak for 1-2 seconds 7. Lower heels with control, maintain 90° knee angle | 1. 90° knee flexion isolates soleus via gastrocnemius active insufficiency 2. Soleus is Type I slow-twitch: use 15-30 reps, longer TUT vs heavy loads 3. Full ROM: 2-3 inch stretch below, 3+ inches above platform 4. Pause reps: hold 3-5 seconds at top for metabolic stress 5. Program 1:1 ratio standing to seated for balanced triceps surae development | Nunes JP et al. (2020). Seated vs standing calf raises. J Strength Cond Res 34(12) | Avery DM & Tan JM (2023). Soleus Muscle Anatomy. StatPearls | Remaud A et al. (2009). Knee-flexion angle effects. Gait & Posture 30(2):205-209 | Running, Cycling, Soccer, Basketball, Hiking, Dance, Swimming, Walking/Rucking | [TBD] | [TBD] | [TBD] |

| Calf Raise - Standing | Gastrocnemius (medial head), Gastrocnemius (lateral head) | Soleus, Core stabilizers (erector spinae, rectus abdominis, obliques) | Isolation | Raised Platform or Step (bodyweight or add dumbbells) | Beginner | Lower | Push | Bodyweight | 1. Stand on raised platform with balls of feet, heels hanging off 2. Feet hip-width apart, toes forward or slightly outward 3. Hold wall or support for balance if needed 4. Lower heels below platform level for deep stretch 5. Push through balls of feet to rise onto tiptoes maximally 6. Squeeze calves at top for 1-2 seconds 7. Lower with control to stretched position | 1. Perfect beginner exercise: master form before adding external load 2. Progress to single-leg variation for 2x bodyweight resistance per leg 3. Add dumbbells when 3x15 reps too easy 4. Minimal balance requirement compared to free weight barbell version 5. Daily frequency possible due to bodyweight loading | Nunes JP et al. (2020). Standing vs seated calf raises. J Strength Cond Res 34(12) | Bordoni B & Varacallo M (2023). Gastrocnemius Muscle Anatomy. StatPearls | Schoenfeld BJ (2010). Muscle hypertrophy mechanisms. J Strength Cond Res 24(10):2857-2872 | Basketball, Track & Field, Volleyball, Soccer, Running, Tennis, Boxing, General Fitness | [TBD] | [TBD] | [TBD] |

| Dumbbell Calf Raise | Gastrocnemius (medial head), Gastrocnemius (lateral head) | Soleus, Core stabilizers, Grip strength (forearms) | Isolation | Dumbbells, Raised Platform | Beginner | Lower | Push | Free Weight | 1. Hold dumbbells at sides with neutral grip 2. Stand on raised platform with balls of feet, heels hanging off 3. Feet hip-width apart, maintain upright posture 4. Lower heels below platform for deep calf stretch 5. Push through balls of feet to rise onto tiptoes 6. Squeeze calves hard at top for 1-2 seconds 7. Lower with control to starting position | 1. Dumbbells easier to balance than barbell but limited by grip strength 2. Use lifting straps if grip fails before calf fatigue 3. Perfect for home gym training without machines 4. Natural arm position reduces core stability demands vs barbell 5. Progress to heavier dumbbells or single-leg variation | Bordoni B & Varacallo M (2023). Gastrocnemius Muscle Anatomy. StatPearls | Nunes JP et al. (2020). Calf raise variations. J Strength Cond Res 34(12) | Schoenfeld BJ (2010). Hypertrophy mechanisms. J Strength Cond Res 24(10):2857-2872 | Basketball, Track & Field, Soccer, Running, Tennis, Volleyball, General Fitness | [TBD] | [TBD] | [TBD] |

| Single-Leg Calf Press | Gastrocnemius (medial head), Gastrocnemius (lateral head) | Soleus, Quadriceps (isometric stabilization) | Isolation | Leg Press Machine | Intermediate | Lower | Push | Machine | 1. Sit in leg press machine with moderate weight (50-60% bilateral load) 2. Place ball of ONE foot on bottom edge of footplate, heel off 3. Other leg rests on floor or bent up off footplate 4. Extend working leg fully, maintain straight knee 5. Flex ankle to let footplate move toward you for stretch 6. Press through ball of foot to extend ankle maximally 7. Hold peak contraction, return to stretch, repeat, then switch legs | 1. Identifies and corrects bilateral strength imbalances 2. Addresses weaker leg first to prevent favoring stronger side 3. Double volume: perform same reps per leg as bilateral sets 4. Enhanced mind-muscle connection with unilateral focus 5. Targets medial/lateral head imbalances with foot angle variation | Nunes JP et al. (2020). Calf raise muscle activation. J Strength Cond Res 34(12) | Bordoni B & Varacallo M (2023). Gastrocnemius Anatomy. StatPearls | Schoenfeld BJ et al. (2015). Volume-equated training. J Strength Cond Res 29(10):2909-2918 | Basketball, Track & Field, Soccer, Running, Tennis, Volleyball, American Football | [TBD] | [TBD] | [TBD] |

| Single-Leg Dumbbell Calf Raise | Gastrocnemius (medial head), Gastrocnemius (lateral head) | Soleus, Core stabilizers (significantly increased for balance), Grip strength | Isolation | Dumbbell, Raised Platform | Intermediate | Lower | Push | Free Weight | 1. Hold dumbbell in one hand at side 2. Stand on raised platform on same-side leg, other leg bent behind you 3. Use free hand on wall or support for balance 4. Lower heel below platform for deep stretch 5. Push through ball of foot to rise onto tiptoe 6. Squeeze calf hard at top for 1-2 seconds 7. Lower with control, complete set, then switch legs | 1. Doubles bodyweight resistance vs bilateral bodyweight calf raise 2. Enhanced balance requirement increases core and stabilizer activation 3. Perfect progression from bilateral bodyweight calf raises 4. Hold dumbbell on same side as working leg for natural balance 5. Address weaker leg first, match reps with stronger leg | Bordoni B & Varacallo M (2023). Gastrocnemius Muscle Anatomy. StatPearls | Nunes JP et al. (2020). Standing calf raises. J Strength Cond Res 34(12) | Schoenfeld BJ (2010). Muscle hypertrophy. J Strength Cond Res 24(10):2857-2872 | Basketball, Running, Track & Field, Soccer, Tennis, Volleyball, Boxing | [TBD] | [TBD] | [TBD] |

| Smith Machine Calf Raise | Gastrocnemius (medial head), Gastrocnemius (lateral head) | Soleus, Core stabilizers (reduced vs free weight barbell) | Isolation | Smith Machine, Raised Platform | Beginner | Lower | Push | Machine | 1. Position Smith machine bar at upper back height 2. Load appropriate weight, stand on platform under bar 3. Position bar across upper back, balls of feet on platform edge 4. Unrack bar and straighten body, heels hanging off platform 5. Lower heels below platform for deep calf stretch 6. Push through balls of feet to rise onto tiptoes maximally 7. Squeeze calves at top, lower with control to stretch | 1. Fixed vertical path reduces balance demands vs free weight barbell 2. Allows focus purely on calf contraction without stabilization 3. Safer for heavy loads—can rerack easily at any point 4. Linear bar path may not suit all body mechanics (slight forward lean natural) 5. Great beginner alternative before progressing to free weight barbell | Bordoni B & Varacallo M (2023). Gastrocnemius Muscle Anatomy. StatPearls | Nunes JP et al. (2020). Standing calf raises. J Strength Cond Res 34(12) | Schick EE et al. (2010). Smith machine vs free weight. J Strength Cond Res 24(3):779-784 | Basketball, Track & Field, Volleyball, Soccer, American Football, Running, Boxing | [TBD] | [TBD] | [TBD] |

