| Alternating Dumbbell Bench Press | Pectoralis Major (sternal head), Pectoralis Major (clavicular head) | Anterior Deltoid, Triceps Brachii, Core stabilizers (anti-rotation) | Compound | Dumbbells, Flat Bench | Intermediate | Upper | Push | Free Weight | 1. Lie supine on flat bench holding dumbbells at chest level 2. Position feet flat on floor, maintain neutral spine 3. Start with both dumbbells at chest, elbows at 45° 4. Press ONE dumbbell up to full elbow extension 5. Lower that dumbbell while pressing opposite dumbbell up 6. Continue alternating in controlled rhythm 7. Maintain constant core tension to resist rotation | 1. Massive anti-rotation core demand—transverse abdominis and obliques highly active 2. Unilateral loading identifies left/right chest strength imbalances 3. Time under tension doubled per side vs bilateral pressing 4. Breathing: exhale during press, inhale during lowering of each rep 5. Perfect for athletic programs requiring rotational stability | Solari F & Burns B (2023). Pectoralis Major Anatomy. StatPearls | Fimland MS et al. (2011). Muscle activity in semi-free-weight vs machine exercises. J Strength Cond Res 25(4):1034-1039 | Schoenfeld BJ (2010). Hypertrophy mechanisms. J Strength Cond Res 24(10):2857-2872 | Baseball, American Football, Rugby, Tennis, Golf, Boxing, Wrestling, MMA | [TBD] | [TBD] | [TBD] |

| Barbell Bench Press | Pectoralis Major (sternal head), Pectoralis Major (clavicular head) | Anterior Deltoid, Triceps Brachii | Compound | Barbell, Flat Bench, Power Rack | Beginner | Upper | Push | Free Weight | 1. Lie supine on flat bench, eyes under barbell 2. Grip bar slightly wider than shoulder-width 3. Unrack bar to arms extended position above chest 4. Lower bar to mid-chest with elbows at 45° 5. Touch chest lightly without bouncing 6. Press bar up to full elbow extension 7. Maintain shoulder blade retraction throughout | 1. King of upper body pressing—highest load potential for pec development 2. Bar path: slight arc from mid-chest to above shoulders at lockout 3. Leg drive: push feet into floor to maintain upper back tightness 4. Balanced sternal and clavicular head activation on flat angle 5. Greater triceps activation than dumbbell press due to fixed hand position | Solari F & Burns B (2023). Pectoralis Major Anatomy. StatPearls | Rodríguez-Ridao D et al. (2020). Bench inclinations and pectoralis EMG. Int J Environ Res Public Health 17(19):7339 | Schick EE et al. (2010). Smith machine vs free weight. J Strength Cond Res 24(3):779-784 | American Football, Rugby, Wrestling, Powerlifting, Strongman, MMA, Boxing | [TBD] | [TBD] | [TBD] |

| Chest Press (Machine) | Pectoralis Major (sternal head), Pectoralis Major (clavicular head) | Anterior Deltoid, Triceps Brachii | Compound | Chest Press Machine | Beginner | Upper | Push | Machine | 1. Adjust seat height so handles align with mid-chest 2. Sit with back flat against pad, feet on floor 3. Grip handles with neutral or pronated grip 4. Press handles forward to full arm extension 5. Pause briefly at full extension 6. Lower with control to starting position 7. Avoid allowing weight stack to touch between reps | 1. Fixed path eliminates stabilizer recruitment—pure pec isolation 2. Safer for high-rep training to failure without spotter 3. Allows higher loads than dumbbells due to stability 4. Perfect for beginners learning pressing mechanics before free weights 5. Use for drop sets and metabolic stress training | Solari F & Burns B (2023). Pectoralis Major Anatomy. StatPearls | Fimland MS et al. (2011). Machine vs free weight muscle activity. J Strength Cond Res 25(4):1034-1039 | Schick EE et al. (2010). Machine chest press mechanics. J Strength Cond Res 24(3):779-784 | General Fitness, Bodybuilding, Rehabilitation, Beginner Strength Training | [TBD] | [TBD] | [TBD] |

| Decline Dumbbell Bench Press | Pectoralis Major (sternal head - emphasized), Pectoralis Major (clavicular head) | Anterior Deltoid (reduced vs flat/incline), Triceps Brachii | Compound | Dumbbells, Decline Bench | Intermediate | Upper | Push | Free Weight | 1. Secure feet under leg supports on decline bench 2. Lie back on decline (15-30° angle) holding dumbbells 3. Position dumbbells at chest level, elbows at 45° 4. Press dumbbells up to full extension above lower chest 5. Lower with control allowing stretch below chest level 6. Press back up, optionally bring dumbbells together at top 7. Maintain constant tension on pectorals throughout | 1. Maximal sternal (lower) pectoralis major activation due to decline angle 2. Minimal anterior deltoid involvement compared to flat/incline 3. Dumbbells allow greater ROM than barbell (descend below chest) 4. Adduction at top (bringing DBs together) increases pec contraction 5. Enhanced safety vs decline barbell—drop dumbbells if needed | Solari F & Burns B (2023). Pectoralis Major Anatomy. StatPearls | Rodríguez-Ridao D et al. (2020). Bench angle effects on pectoralis EMG. Int J Environ Res Public Health 17(19):7339 | Lauver JD et al. (2016). Bench angle muscular activation. Eur J Sport Sci 16(3):309-316 | Bodybuilding, American Football, Rugby, Wrestling, Powerlifting, MMA | [TBD] | [TBD] | [TBD] |

| Decline Smith Machine Bench Press | Pectoralis Major (sternal head - emphasized), Pectoralis Major (clavicular head) | Anterior Deltoid (reduced), Triceps Brachii | Compound | Smith Machine, Decline Bench | Beginner | Upper | Push | Machine | 1. Position decline bench under Smith machine bar 2. Secure feet under leg supports 3. Lie back on decline, position bar above lower chest 4. Unrack bar and lower to lower chest with control 5. Press bar up to full extension 6. Rerack at any point using safety hooks 7. Maintain shoulder blade retraction throughout | 1. Fixed vertical path allows focus on lower pec contraction 2. Safer for training to failure without spotter (rerack anytime) 3. Reduced stabilizer demand vs free weight decline press 4. Great for isolating sternal pectoralis major fibers 5. Linear bar path may not suit all individual biomechanics | Solari F & Burns B (2023). Pectoralis Major Anatomy. StatPearls | Rodríguez-Ridao D et al. (2020). Bench angle effects. Int J Environ Res Public Health 17(19):7339 | Schick EE et al. (2010). Smith machine vs free weight. J Strength Cond Res 24(3):779-784 | Bodybuilding, General Fitness, Powerlifting Assistance, Rehabilitation | [TBD] | [TBD] | [TBD] |

| Dumbbell Bench Press | Pectoralis Major (sternal head), Pectoralis Major (clavicular head) | Anterior Deltoid, Triceps Brachii, Stabilizer muscles (rotator cuff) | Compound | Dumbbells, Flat Bench | Beginner | Upper | Push | Free Weight | 1. Sit on flat bench holding dumbbells on thighs 2. Lie back while bringing dumbbells to chest level 3. Position feet flat on floor, maintain neutral spine 4. Press dumbbells up to full extension above chest 5. Lower with control, allowing elbows to descend below chest level 6. Press back up, optionally bring dumbbells together at top 7. Maintain shoulder blade retraction throughout | 1. Greater pectoralis activation than barbell due to increased ROM 2. Descend dumbbells below chest level for deep stretch 3. Adduction at top (bringing DBs together) maximizes pec contraction 4. Significantly higher anterior deltoid and stabilizer activation vs barbell 5. Independent arm movement identifies left/right strength imbalances | Solari F & Burns B (2023). Pectoralis Major Anatomy. StatPearls | Fimland MS et al. (2011). Free weight vs machine muscle activity. J Strength Cond Res 25(4):1034-1039 | Rodríguez-Ridao D et al. (2020). Pectoralis EMG analysis. Int J Environ Res Public Health 17(19):7339 | American Football, Rugby, Wrestling, Baseball, MMA, Bodybuilding, General Fitness | [TBD] | [TBD] | [TBD] |
