"Exercise","Primary Muscles","Secondary Muscles","Type","Equipment","Level","Body Region","Movement","Modality","Steps for Beginners","Advanced Key Points","Scientific Reference","Sports Tags","ExRx Video","JEFIT Video","CoachWhitt Video"
"Barbell Bench Press","Pectoralis Major (sternal, clavicular)","Anterior Deltoid, Triceps Brachii","Compound","Barbell, Bench","Intermediate","Upper","Push","Free Weight","1. Lie flat on bench, eyes under bar 2. Grip bar slightly wider than shoulders 3. Unrack and lower to mid-chest 4. Press to lockout 5. Maintain 5-point contact","1. Retract scapulae throughout 2. Leg drive initiates press 3. Bar path slightly diagonal 4. Maintain wrist alignment 5. Control eccentric 2-3 sec","Lehman GJ (2005). The influence of grip width and forearm pronation/supination on upper-body myoelectric activity. J Strength Cond Res 19(3):587-591","Powerlifting, Football, Rugby, Wrestling","https://exrx.net/WeightExercises/PectoralSternal/BBBenchPress","https://www.jefit.com/exercises/2/barbell-bench-press","[TBD]"
"Incline Dumbbell Press","Pectoralis Major (clavicular emphasis)","Anterior Deltoid, Triceps Brachii, Serratus Anterior","Compound","Dumbbells, Incline Bench (30-45°)","Advanced","Upper","Push","Free Weight","1. Set bench to 30-45 degrees 2. Start with dumbbells at shoulder height 3. Press up and slightly together 4. Lower with control to stretch 5. Avoid excessive arch","1. Greater ROM than barbell 2. Converge at top (slight medial rotation) 3. Elbows 45° from torso 4. Maintain shoulder depression 5. Unilateral stabilization demands","Barnett C et al. (1995). Effects of variations of the bench press exercise on the EMG activity of five shoulder muscles. J Strength Cond Res 9(4):222-227","Basketball, Volleyball, Tennis, Boxing","https://exrx.net/WeightExercises/PectoralClavicular/DBInclineBenchPress","https://www.jefit.com/exercises/31/dumbbell-incline-bench-press","[TBD]"
"Dips (Chest Emphasis)","Pectoralis Major (sternal), Triceps","Anterior Deltoid, Serratus Anterior","Compound","Parallel Bars or Dip Station","Intermediate","Upper","Push","Bodyweight","1. Grip bars shoulder-width 2. Lean forward 20-30° 3. Lower until stretch felt 4. Press up maintaining lean 5. Avoid shoulder impingement","1. Forward lean activates chest 2. Elbows flared 45° 3. Full ROM crucial 4. Scapular protraction at top 5. Control descent 3 sec","Gołaś A et al. (2017). Optimizing half squat postactivation potentiation with handheld loading. J Strength Cond Res 31(11):3033-3038","Gymnastics, CrossFit, MMA, Climbing","https://exrx.net/WeightExercises/PectoralSternal/BWChestDip","https://www.jefit.com/exercises/24/dip","[TBD]"
"Cable Crossover (Mid-Height)","Pectoralis Major (sternal, clavicular)","Anterior Deltoid","Isolation","Cable Machine","Advanced","Upper","Push","Cables","1. Set cables at shoulder height 2. Step forward, slight bend 3. Bring hands together 4. Squeeze at midline 5. Return with control","1. Constant tension advantage 2. Hands cross over midline 3. Slight internal rotation 4. Maintain posture/avoid leaning 5. Peak contraction hold 1-2 sec","Welsch EA et al. (2005). Electromyographic activity of the pectoralis major and anterior deltoid muscles during three upper-body lifts. J Strength Cond Res 19(2):449-452","Bodybuilding, Aesthetic Sports","https://exrx.net/WeightExercises/PectoralSternal/CBStandingFly","https://www.jefit.com/exercises/1057/cable-mid-chest-crossover","[TBD]"
"Push-Ups (Standard)","Pectoralis Major, Triceps","Anterior Deltoid, Serratus Anterior, Core","Compound","Bodyweight","Beginner","Upper","Push","Bodyweight","1. Hands shoulder-width 2. Body straight line 3. Lower chest to floor 4. Press to full extension 5. Engage core throughout","1. Scapular protraction crucial 2. Hollow body position 3. Hands under shoulders 4. Full ROM essential 5. Tempo control (2-0-2)","Freeman S et al. (2006). Quantifying muscle patterns and spine load during various forms of the push-up. Med Sci Sports Exerc 38(3):570-577","Military, General Fitness, Calisthenics","https://exrx.net/WeightExercises/PectoralSternal/BWPushup","https://www.jefit.com/exercises/47/push-up","[TBD]"
"Decline Barbell Press","Pectoralis Major (lower sternal emphasis)","Triceps, Anterior Deltoid","Compound","Barbell, Decline Bench (15-30°)","Advanced","Upper","Push","Free Weight","1. Secure feet in decline bench 2. Unrack with spotter 3. Lower to lower chest 4. Press to lockout 5. Controlled tempo","1. Emphasizes lower pec fibers 2. Shorter ROM than flat 3. Reduced shoulder stress 4. Higher loads possible 5. Avoid excessive decline","Glass SC, Armstrong T (1997). Electromyographical activity of the pectoralis muscle during incline and decline bench presses. J Strength Cond Res 11(3):163-167","Powerlifting, Bodybuilding","https://exrx.net/WeightExercises/PectoralSternal/BBDeclineBenchPress","https://www.jefit.com/exercises/5/barbell-decline-bench-press","[TBD]"
"Dumbbell Flyes","Pectoralis Major","Anterior Deltoid, Biceps Brachii (long head)","Isolation","Dumbbells, Flat Bench","Beginner","Upper","Push","Free Weight","1. Start with dumbbells pressed up 2. Slight elbow bend (fixed) 3. Arc out to sides 4. Deep stretch position 5. Return same arc path","1. Fixed elbow angle throughout 2. Eccentric 3-4 sec critical 3. Stretch emphasis exercise 4. Lighter loads required 5. Avoid going too deep","Welsch EA et al. (2005). EMG activity of pectoralis major during upper-body lifts. J Strength Cond Res 19(2):449-452","Bodybuilding, Rehabilitation","https://exrx.net/WeightExercises/PectoralSternal/DBFly","https://www.jefit.com/exercises/41/dumbbell-fly","[TBD]"
"Incline Barbell Bench Press","Pectoralis Major (clavicular/upper chest)","Anterior Deltoids, Triceps","Compound","Barbell, Incline Bench (30-45°)","Advanced","Upper","Push","Free Weight","1. Set bench to 30-45 degrees 2. Wide overhand grip 3. Unrack with spotter 4. Lower to upper chest 5. Press to lockout","1. 44° incline optimal for clavicular head 2. Targets upper chest fibers 3. Grip slightly wider than flat bench 4. Maintain scapular retraction 5. Controlled eccentric essential","Barnett C et al. (1995). Effects of bench press variations on EMG. J Strength Cond Res 9(4):222-227","Bodybuilding, Strength Sports","https://exrx.net/WeightExercises/PectoralClavicular/BBInclineBenchPress","https://www.jefit.com/exercises/8/barbell-incline-bench-press","[TBD]"
"Machine Chest Press","Pectoralis Major (sternal)","Triceps, Anterior Deltoids","Compound","Chest Press Machine","Beginner","Upper","Push","Fixed Resistance","1. Adjust seat height (handles at chest) 2. Grip handles 3. Press until arms extended 4. Control return to start 5. Avoid locking elbows","1. Fixed movement path 2. Reduced stabilizer demand 3. Safe for beginners 4. Consistent tension on chest 5. Can load heavier safely","Schoenfeld BJ et al. (2010). Mechanisms of muscle hypertrophy. J Strength Cond Res 24(10):2857-2872","Beginner Training, Bodybuilding, Rehabilitation","https://exrx.net/WeightExercises/PectoralSternal/LVChestPress","https://www.jefit.com/exercises/163/machine-bench-press","[TBD]"
"Pec Deck Machine","Pectoralis Major","Anterior Deltoid","Isolation","Pec Deck Machine","Beginner","Upper","Push","Fixed Resistance","1. Adjust seat height (arms level) 2. Place forearms on pads 3. Bring arms together 4. Squeeze at midline 5. Return with control","1. Fixed movement path 2. Reduced stabilizer demand 3. Easy to reach failure safely 4. Consistent tension 5. Ideal for burnout sets","Welsch EA et al. (2005). EMG activity during chest exercises. J Strength Cond Res 19(2):449-452","Bodybuilding, Beginner Training, Rehabilitation","https://exrx.net/WeightExercises/PectoralSternal/LVPecDeckFly","https://www.jefit.com/exercises/45/machine-fly","[TBD]"
